created_at,id,text,screen_name,followers,friends,rt,fav
,,,,,,,
Fri Mar 06 18:00:17 +0000 2015,5.73906E+17,"They say a penny saved is a penny earned. #Minters, make your smart savings count and start #saving now! http://t.co/YhYPQwxCH9",mint,242594,7830,1,8
,,,,,,,
Fri Mar 06 00:00:29 +0000 2015,5.73634E+17,"#DYK the average cost for a sm. dog is $1,314 in its 1st year? Keep the costs down &amp; read these #tips: http://t.co/sOwqb6Iw8c via @MoneyNing",mint,242594,7830,4,5
,,,,,,,
Thu Mar 05 17:00:18 +0000 2015,5.73528E+17,"#Minters, learn to say \u201cNO"" to unnecessary purchases! Watch here for more #savings hacks: http://t.co/9TxHNYp5TN #VIDEO #EverydayTriumphs",mint,242594,7830,4,6
,,,,,,,
Wed Mar 04 23:00:56 +0000 2015,5.73257E+17,"#Minters, do you need help understanding your 401(k)? We can help you best approach your retirement plan: http://t.co/RydjZXjK4j",mint,242594,7830,0,7
,,,,,,,
Wed Mar 04 19:00:24 +0000 2015,5.73196E+17,Don\u2019t let your wallet be a party pooper! Check out these #tips for keeping your kid\u2019s #party #fun &amp; cheap http://t.co/pJdHPWY5oj via @usnews,mint,242594,7830,0,0
,,,,,,,
Tue Mar 03 23:00:26 +0000 2015,5.72894E+17,Check out these #money saving #tips for air travel. Lowest time to buy is 47 days in advance! via @HuffingtonPost http://t.co/TxqKJbJMEF,mint,242594,7830,10,7
,,,,,,,
Tue Mar 03 01:00:34 +0000 2015,5.72562E+17,Is your social life wreaking havoc on your #budget? Follow these #savings hacks: http://t.co/Q8Qyt3fjc7 #VIDEO #EverydayTriumphs,mint,242594,7830,10,9
,,,,,,,
Mon Mar 02 17:00:16 +0000 2015,5.72441E+17,One #tip for getting your life organized: set a #goal! via @POPSUGARSmart http://t.co/xJn1QAhAD0,mint,242594,7830,1,3
,,,,,,,
Sat Feb 28 22:00:30 +0000 2015,5.71792E+17,"#VIDEO: Just say \u201cNO"" to that next impulse purchase &amp; put that $ toward a vacation or student loan. #EverydayTriumphs http://t.co/gS5PQJ4sTj",mint,242594,7830,6,7
,,,,,,,
Fri Feb 27 23:00:12 +0000 2015,5.71445E+17,#DYK using what you have in your pantry is a great way to save on extra food costs? #MintTip http://t.co/a4JeyZ7oXH,mint,242594,7830,2,8
,,,,,,,
Fri Feb 27 21:00:18 +0000 2015,5.71415E+17,#Minters spend ~$30 on meals out. Watch to see how you can save money on food and more! http://t.co/VWmlZnRVXc #EverydayTriumphs #VIDEO,mint,242594,7830,4,4
,,,,,,,
Fri Feb 27 17:00:21 +0000 2015,5.71354E+17,"#Minters, check out these 5 tips to #save $1 million for #retirement. #Tip 1: Start early! via @USATODAY http://t.co/MarvNwBkMP",mint,242594,7830,7,7
,,,,,,,
Fri Feb 27 15:53:45 +0000 2015,5.71337E+17,"RT @turbotax: We don't know the color of #TheDress, but we know that money is green. File your #taxes now to get your green: http://t.co/e7\u2026",mint,242594,7830,87,0
,,,,,,,
Fri Feb 27 00:00:24 +0000 2015,5.71097E+17,"#Minters, in your 20s? #Tip: These 25 secrets will help make your 20s the best years ever via @POPSUGARSmart http://t.co/B43C7gGwyp",mint,242594,7830,9,12
,,,,,,,
Fri Feb 27 00:00:24 +0000 2015,5.71097E+17,"#Minters, in your 20s? #Tip: These 25 secrets will help make your 20s the best years ever via @POPSUGARSmart http://t.co/B43C7gGwyp",mint,242594,7830,9,12
,,,,,,,
