created_at,id,text,screen_name,rt,fav
Thu Nov 10 16:14:34 +0000 2016,796747891834376192,What is #Trump planning for your #money? Full #Election Report on #taxes #SocialSecurity #education &amp; #healthcare.\u2026 https://t.co/PYwnAWWaoV,PersonalCapital,6,6
Wed Nov 09 18:54:05 +0000 2016,796425646062735360,"""Global financial #markets were rattled after Trump won, but fears of a Brexit-style shock have not materialised. "" https://t.co/leRBfFOtFk",PersonalCapital,0,0
Tue Nov 08 21:03:36 +0000 2016,796095852804718592,#Winning! Thank you @forbes and @samsharf for including us on the #FinTech50 list for the 2nd year in a row! https://t.co/z4H7eIlrn9,PersonalCapital,2,5
Tue Nov 08 18:07:20 +0000 2016,796051493757431808,An entertaining read while you wait in line to vote... #electionday #Elections2016 https://t.co/x4Ty7afC5X,PersonalCapital,0,0
Thu Nov 03 17:00:12 +0000 2016,794222660049715200,The @Cubs won $25.1 MILLION &amp; the #WorldSeries ! Congrats! Great article @crobmatthews via @fortunemagazine https://t.co/vM8g7RmGB2,PersonalCapital,0,4
Wed Nov 02 14:00:18 +0000 2016,793814999252688896,CEO @BillHarris sat down with @FT this week - take a listen for his thoughts on our hybrid people &amp; tech approach\u2026 https://t.co/dUy0C7hSPo,PersonalCapital,0,1
Tue Nov 01 17:35:56 +0000 2016,793506874750414850,"1 WEEK until #ElectionDay! Watch what happened when we polled voters to ask about their #money, #Trump, and\u2026 https://t.co/I8dgWlKdWd",PersonalCapital,1,2
Fri Oct 28 20:05:43 +0000 2016,792095019544961028,Couldn't agree more - welcome Eric Weiss! We're happy to have you as our new CMO! https://t.co/C2WFXzxX4b,PersonalCapital,0,2
Wed Oct 26 16:01:07 +0000 2016,791308687100907520,Americans are worried this #2016election - but here's something you can actually do to reduce #stress...\u2026 https://t.co/5GuJA0XELH,PersonalCapital,0,0
Mon Oct 24 18:59:10 +0000 2016,790628720444702720,Our CEO @BillHarris_PC talking about the future of #fintech and the need for #transparency at #Money2020! https://t.co/kPLLwmUqFU,PersonalCapital,1,2
Fri Oct 21 11:15:11 +0000 2016,789424790998167553,Financial gurus sometimes come in the unlikliest of places. Here's why #WillyWonka is one at the top of our list!\u2026 https://t.co/ntdg6tViLq,PersonalCapital,0,2
Thu Oct 20 16:01:09 +0000 2016,789134369600385026,"Thanks @day2dayfinance! We love being the wealth management tech for ""Millennials\u2019 older brothers and sisters.""\u2026 https://t.co/bL4B9frk6X",PersonalCapital,0,6
Wed Oct 19 15:00:13 +0000 2016,788756644616212480,7 best #money lessons from top writers we work with like @financialsamura &amp; @BudgetsAreSexy!\u2026 https://t.co/B988VwGsPy,PersonalCapital,1,3
Tue Oct 18 15:00:09 +0000 2016,788394241441411074,Personal Capital featured for employee growth &amp;  #mentorship opportunities in @BuiltInColorado! Via @JessRyanCo:\u2026 https://t.co/pGq8mDxYSZ,PersonalCapital,0,1
Mon Oct 17 14:30:08 +0000 2016,788024298640252928,"Whether you're a #freelancer or #corporate vet, pay attention to these #retirementmistakes! From @GraysonBell83\u2026 https://t.co/OgKNt2vwhL",PersonalCapital,0,1
Sat Oct 15 16:00:12 +0000 2016,787322191423549441,Q3 is over &amp; there is plenty to report from both Personal Capital and global markets. Here's our top insights:\u2026 https://t.co/JHooGp0GOj,PersonalCapital,0,2
Fri Oct 14 15:00:12 +0000 2016,786944703086211073,"October is #sports season from @NCAA to @NFL, @MLB, or @NBA. Here's how to #hack #GameDay like a pro\u2026 https://t.co/rbMU7KtpGp",PersonalCapital,0,0
Mon Oct 10 16:40:17 +0000 2016,785520337576271872,Ever wonder why you're seeing more and more #millennials and 30 somethings retiring? Here's how they're doing it!\u2026 https://t.co/lIjvWHbHzh,PersonalCapital,3,6
Fri Sep 30 11:00:08 +0000 2016,781810855771971584,DAY 30: YOU DID IT! What surprised you the most while doing the 30 day challenge? Reply #Moneycleanse &amp; read more:\u2026 https://t.co/TcsX7pMIbd,PersonalCapital,0,2
Thu Sep 29 16:56:15 +0000 2016,781538089718034433,DAY 29: What were the spending and saving goals you set up earlier this month?  Reply #Moneycleanse &amp; read more:\u2026 https://t.co/L4qXweiqwY,PersonalCapital,0,3
Wed Sep 28 14:56:40 +0000 2016,781145606957830145,DAY 28: What's your highest annual card fee? What's the card with the highest APR? Reply #Moneycleanse &amp; read on:\u2026 https://t.co/4FUQeIKIbM,PersonalCapital,0,1
Tue Sep 27 16:24:38 +0000 2016,780805356758847488,DAY 27: Time for a check up! What time of day are you most productive? Reply #Moneycleanse &amp; read on:\u2026 https://t.co/mgwvVXc0Ck,PersonalCapital,0,1
Mon Sep 26 17:10:35 +0000 2016,780454532694183936,DAY 26: What's an activity you'll do this week that's free or costs next to nothing? Reply #Moneycleanse &amp; read on:\u2026 https://t.co/KdWv0fAjR9,PersonalCapital,0,1
Sun Sep 25 16:31:02 +0000 2016,780082190449119232,DAY 25: Test your improved spending w/an all cash diet! Reply #Moneycleanse with your 1st cash purchase &amp; read on:\u2026 https://t.co/UgulJMRkGH,PersonalCapital,0,1
Sat Sep 24 14:00:09 +0000 2016,779681835047530497,DAY 24: Nearly there! Are you saving 20% of your paycheck yet? Reply #Moneycleanse &amp; read on:https://t.co/ZEnyEOrqeY https://t.co/QF0ZHPKGZB,PersonalCapital,0,4
Fri Sep 23 13:00:24 +0000 2016,779304408563580929,DAY 23: Do you have an IRA or a Roth IRA yet? Get on it! Reply #Moneycleanse &amp; read on: https://t.co/ZEnyEOrqeY https://t.co/LRrrrMhFov,PersonalCapital,0,1
