created_at,id,text,screen_name,followers,friends,rt,fav
Sat Jan 28 22:28:05 +0000 2017,825470530551681025,Bailing out mom &amp; dad: @FARNOOSH\u2019s 5 tips for helping a parent struggling financially: https://t.co/fIix7WDseV https://t.co/kgzpjNoy0N,mint,242609,7830,1,2
Sat Jan 28 17:21:03 +0000 2017,825393260608765952,Get your #SideHustle going \u2014 10 ideas to make money in less than 30 min\u201d https://t.co/orUeBKuSkj @JamesFDennin,mint,242609,7830,4,4
Fri Jan 27 22:47:30 +0000 2017,825113029293535233,"RT @Startup_Canada: @mint @expensify You've been quoted in my #Storify story ""#StartupChats - Apps and Hacks for Startup Finance"" https://t\u2026",mint,242609,7830,2,0
Fri Jan 27 22:46:29 +0000 2017,825112774128889856,RT @Usakoi84: I was sad when my email this morning said that @Mint Bills is ending in 60 days. But *new* Mint is amazing &amp; I didn't mind sw\u2026,mint,242609,7830,1,0
Fri Jan 27 22:41:15 +0000 2017,825111454403661824,"Convos about bills with your s/o used to get heated, but now you can #BillsAndChill. https://t.co/MCdVgcLmcg",mint,242609,7830,0,3
Fri Jan 27 20:01:03 +0000 2017,825071140607504385,The main difference between a Traditional IRA &amp; a Roth IRA is when you pay income taxes on your contributions.\u2026 https://t.co/h1pK2M6ASU,mint,242609,7830,8,12
Fri Jan 27 17:34:31 +0000 2017,825034263607263239,RT @nerd_christina: OMG @mint is my new favorite app. They made a budget for me! \U0001f49a,mint,242609,7830,1,0
Fri Jan 27 17:04:07 +0000 2017,825026611921686528,Life demands a million different things from us \u2014 8 #LifeHacks for keeping everything in \u2714\ufe0f https://t.co/PLS9JWOJbD @emilyboyd12,mint,242609,7830,0,4
Fri Jan 27 15:38:45 +0000 2017,825005130210693120,"Good day, Minters! Breakfast is ready and so are we with your Minty questions! :)",mint,242609,7830,0,2
Thu Jan 26 21:14:05 +0000 2017,824727130621833220,Big savings account VS big checking account \u2014 which do you prefer? https://t.co/DeYr1nkZC1,mint,242609,7830,2,5
Thu Jan 26 19:57:41 +0000 2017,824707903693074432,So much fun! Thank you @turbotax for another great chat! #2017Finances https://t.co/dCKzct36H8,mint,242609,7830,0,2
Thu Jan 26 19:50:15 +0000 2017,824706035935965185,"RT @KBGreene: A9: Healthy finances are achieved by happy people! Necessity calls, but if a 2nd job is more burden then benefit, think twice\u2026",mint,242609,7830,2,0
Thu Jan 26 19:48:36 +0000 2017,824705617642164224,RT @FARNOOSH: A11: My @Mint piece on how to tackle student loans here: https://t.co/zRHsdWMYj4 Key is to never fall behind and seek help!\u2026,mint,242609,7830,2,0
Thu Jan 26 19:47:39 +0000 2017,824705380387168257,"RT @turbotax: A11: There are programs to help manage student loans &amp; you can even deduct up to $2,500 w/ TurboTax #2017Finances https://t.c\u2026",mint,242609,7830,2,0
Thu Jan 26 19:47:25 +0000 2017,824705321511694336,A11: We're just going to put this right here. #2017Finances @turbotax https://t.co/NIk3xUhZxX,mint,242609,7830,2,5
Thu Jan 26 19:46:15 +0000 2017,824705025721016320,A11: @FARNOOSH recently shared some great tips for one Mint user struggling to balance: https://t.co/yloKASYlUG #2017Finances @turbotax,mint,242609,7830,0,7
Thu Jan 26 19:44:54 +0000 2017,824704685885960193,RT @jjeffrose: A10: Communication is even more important for couples and their money goals. These are must have discussions.  #2017finances,mint,242609,7830,1,0
Thu Jan 26 19:43:17 +0000 2017,824704280342917120,RT @FARNOOSH: A10: Contribute to a 529 savings plan but not if it means putting #retirement plan in jeopardy. #2017Finances,mint,242609,7830,2,0
Thu Jan 26 19:41:27 +0000 2017,824703817887338496,"RT @TheFrugalGirl: A9: Also, make sure not to burn yourself out. Smart to save/pay off debt, but you still need rest &amp; some downtime.#2017f\u2026",mint,242609,7830,1,0
Thu Jan 26 19:40:01 +0000 2017,824703460373262336,RT @FARNOOSH: A9: I'm all about the #sidehustle. If you need to earn more try one of these gigs to earn $500+/mo https://t.co/vy8p8OGbJ1 #2\u2026,mint,242609,7830,8,0
Thu Jan 26 19:39:27 +0000 2017,824703316743446528,"A9: If u know u have upcoming expenses (bday/vacay), use ur #sidehustle $$ instead of credit or dipping in2 savings! #2017Finances @TurboTax",mint,242609,7830,0,6
Thu Jan 26 19:36:15 +0000 2017,824702511005052928,Truth \U0001f49a https://t.co/VMWGvLDSJb,mint,242609,7830,0,3
Thu Jan 26 19:32:17 +0000 2017,824701514170068992,Yes! https://t.co/81dm4Ns1re,mint,242609,7830,0,0
Thu Jan 26 19:30:36 +0000 2017,824701089463152640,A7: &amp; we're in really good company... Check out apps like @Stash &amp; @Digit too! #2017Finances @turbotax https://t.co/yYuL9PODwM,mint,242609,7830,1,3
Thu Jan 26 19:25:01 +0000 2017,824699683196932096,Absolutely! Auto-deposit a portion of your income directly into savings! #2017Finances #greattip https://t.co/PcrAF0rBlI,mint,242609,7830,1,5
Thu Jan 26 19:23:27 +0000 2017,824699291398582272,"A5(2): \u2026when you make that cut, be sure to actually move that $$ into savings! @TurboTax #2017Finances https://t.co/HEv0GkFiSV",mint,242609,7830,0,0
Thu Jan 26 19:23:03 +0000 2017,824699190106214400,A5(1): Know where you spend to know where you can cut. @TurboTax #2017Finances,mint,242609,7830,0,1
Thu Jan 26 19:21:00 +0000 2017,824698672721989633,"A4: If you have a tax refund coming your way, commitment to using it toward a #2017Finances goal. @TurboTax",mint,242609,7830,0,3
Thu Jan 26 19:16:25 +0000 2017,824697520429232128,"RT @FARNOOSH: A3: Have a money check-in once a month. Sit down, revisit your budget &amp; expenses and track progress. #2017Finances",mint,242609,7830,3,0
Thu Jan 26 19:13:40 +0000 2017,824696827282755584,"RT @TheFrugalGirl: Q2: Also, automate! Way easier to save/invest if you have it set up to auto-pilot. #2017finances",mint,242609,7830,2,0
Thu Jan 26 19:08:00 +0000 2017,824695401122893824,RT @KBGreene: A1: Investing goals are tops for #2017finances as fintech is lowering the bar to investing with @Stash @acorns + more,mint,242609,7830,2,0
Thu Jan 26 19:06:53 +0000 2017,824695122679918593,"A1: If you\u2019re looking for a jumping off point, here\u2019s a list to get you started! @TurboTax #2017Finances https://t.co/QWw8q8bmsH",mint,242609,7830,2,7
Thu Jan 26 19:04:39 +0000 2017,824694557392506880,Hi @FARNOOSH! \U0001f64b @turbotax #2017Finances https://t.co/dFhReTzzWg,mint,242609,7830,0,2
Thu Jan 26 19:02:37 +0000 2017,824694048472510464,RT @turbotax: Welcome to the TurboTax #2017Finances Twitter Chat! Join in by using the #2017Finances hashtag. https://t.co/FC0YbTSGG0,mint,242609,7830,3,0
Thu Jan 26 18:07:35 +0000 2017,824680196674510848,Join us in about an hour for the #2017Finances chat with @TurboTax! https://t.co/hnos3qND9h,mint,242609,7830,1,2
Thu Jan 26 17:19:06 +0000 2017,824667994206961666,"The ABCs of good #PersonalFinance, your cheat sheet to better #MoneyManagement: https://t.co/Txq1WAsKxQ @LenPenzo",mint,242609,7830,2,5
Thu Jan 26 16:17:37 +0000 2017,824652521734037504,RT @FARNOOSH: Anticipating a large purchase this year? How to get your finances in order first so you can actually afford it: https://t.co/\u2026,mint,242609,7830,4,0
Thu Jan 26 01:00:42 +0000 2017,824421773760405507,"RT @turbotax: A2: Track your finances! Whether it\u2019s keeping receipts to get deductions, or apps like @Mint, tracking = knowledge = savings.\u2026",mint,242609,7830,4,0
Wed Jan 25 22:11:07 +0000 2017,824379094741696515,"If you could go anywhere in the world, where would it be? 9 #MoneySaving tips to help you get there: https://t.co/za0HI2oomq @challemann",mint,242609,7830,1,4
Wed Jan 25 19:25:04 +0000 2017,824337310141599745,"But like, why wait until the last min? Get that refund! We know some people *cough* @turbotax *cough* that make it\u2026 https://t.co/2yJXP2M41D",mint,242609,7830,2,2
Wed Jan 25 19:06:09 +0000 2017,824332546490167297,"We\u2019re teaming up w/ @Chase to use token-based tech! #Security, ease of use, &amp; greater control over your finances\u2026 https://t.co/2FThFO6pfJ",mint,242609,7830,2,5
Wed Jan 25 17:04:05 +0000 2017,824301829496377345,"My \U0001f436 is dependent on me, can I claim her as a dependent? Unfortunately no, but here's who might qualify:\u2026 https://t.co/v7tHUGNGeD",mint,242609,7830,1,7
Wed Jan 25 03:16:22 +0000 2017,824093526732455936,RT @MyGreatLakes: Check out these eight tips for managing student loans. Would any of them work for you? Via @mint https://t.co/PhYrwo3cX8,mint,242609,7830,2,5
Tue Jan 24 21:50:07 +0000 2017,824011423785304064,What to expect when you\u2019re expecting\u2026.a #TaxRefund: https://t.co/kfs7glJRbs #TaxesDone @TurboTax https://t.co/yeKmN0oBdy,mint,242609,7830,0,3
Tue Jan 24 20:13:10 +0000 2017,823987025854496769,#TravelTuesday: @TheWhimsySoul spills her secret to building a life around travel. https://t.co/9gGgw6anoH\u2026 https://t.co/c1gGRKW1VV,mint,242609,7830,0,4
Tue Jan 24 17:00:51 +0000 2017,823938627424108544,"If you\u2019re affording care for a parent, remember the #tax deduction. Determining eligibility &amp; more from @FARNOOSH:\u2026 https://t.co/c2y8sQssez",mint,242609,7830,2,1
Tue Jan 24 16:05:56 +0000 2017,823924807888764928,RT @gregoryvelvet: Better together with the help of finance app @Mint https://t.co/XxyhoGEn7Q #BillsandChill #SoMinty #AD https://t.co/KDmm\u2026,mint,242609,7830,4,0
Tue Jan 24 00:15:22 +0000 2017,823685588113096704,"""Money management, above all else, can be imperative to the make and break of any start-up business\u201d So true,\u2026 https://t.co/fQ5xVuamKx",mint,242609,7830,1,5
Mon Jan 23 21:26:18 +0000 2017,823643040589971456,Your phone is a powerful financial organization tool. Apps that put your money to work: https://t.co/p9G1Ujy3rw @MadelineBuxton,mint,242609,7830,3,11
Mon Jan 23 17:01:06 +0000 2017,823576302196232192,"In week 1 of @FARNOOSH's #SoMinty takeover, we set a goal. Now it\u2019s time to celebrate \U0001f389 your 1st victory! Share it:\u2026 https://t.co/sKXgjLV5C3",mint,242609,7830,1,2
Sun Jan 22 22:44:04 +0000 2017,823300224517017601,#FinancialFreedom: Victory lies in the game winning drive. Eye on the prize. \U0001f3c8\U0001f4b8 https://t.co/4rh4prMKSc,mint,242609,7830,3,5
Sun Jan 22 21:05:46 +0000 2017,823275486629359616,RT @_amandaholstein: Finally take control of your finances with these simple steps using @mint: https://t.co/rdQDUaGkvw  #billsandchill #sp\u2026,mint,242609,7830,1,0
Sun Jan 22 19:03:04 +0000 2017,823244607341240320,RT @jinnajuice: Why You Can't Afford To Travel (&amp; What You Can Do About It) | @mint #BillsandChill #SoMinty #spons #ProjectInspo | https://\u2026,mint,242609,7830,2,0
Sun Jan 22 19:01:32 +0000 2017,823244222954344450,RT @pinkonthecheek: Let's talk money! On the blog I'm sharing my goals for 2017 while using @mint #billsandchill #ad https://t.co/JmQ3lxLB9n,mint,242609,7830,1,3
Sun Jan 22 18:00:39 +0000 2017,823228902113996800,"You want stuff, but when you\u2019re an adult, a lot of it requires a good #CreditScore. Know yours? Check it for free:\u2026 https://t.co/U5j7bulZDl",mint,242609,7830,2,3
Sat Jan 21 20:05:06 +0000 2017,822897831316963329,"Bill tracking, management and 2-tap payments in Mint. It\u2019s all coming together. #BillsAndChill https://t.co/6VKvbolVTG",mint,242609,7830,1,6
Sat Jan 21 17:03:03 +0000 2017,822852015919341568,"#FinancialFreedom, living the life you want (w/o running out of money) \u2014 4 steps to get there. https://t.co/oxEOb6nZ9W @PeterLazaroff",mint,242609,7830,3,13
Fri Jan 20 20:05:07 +0000 2017,822535447951843329,"Knowing your #CreditScore puts you in a better position for getting a car loan at a lower rate. Go on, have a peek:\u2026 https://t.co/JP8TFmAEt1",mint,242609,7830,2,8
Fri Jan 20 17:30:08 +0000 2017,822496446947672066,"Track your spending, set up automatic bill payments and other tiny habits that can help you save big: https://t.co/lh3Rj1UBqD @notsoTan_za",mint,242609,7830,7,8
Fri Jan 20 06:17:49 +0000 2017,822327250636840960,RT @airows: Blissfully master your finances in 2017 thanks to @mint: https://t.co/EUSJ4qBSvc #BillsandChill #Sponsored https://t.co/G7exbc3\u2026,mint,242609,7830,1,0
Fri Jan 20 06:16:31 +0000 2017,822326924563267584,RT @BellaDivaLife: So excited about my partnership with @Mint to share 3 steps I'm taking toward a complete financial makeover in 2017!\n#Bi\u2026,mint,242609,7830,1,0
Thu Jan 19 20:21:21 +0000 2017,822177146345029633,RT @FARNOOSH: Are you consumed by #debt &amp; feel like you're having trouble saving #money? Check out my latest @mint audit. https://t.co/2zFq\u2026,mint,242609,7830,3,0
